Id,ELEMID,ENTINAME,price
6122,510100I0000055696,东顺巷28号院,6357.946
3564,510100I0000007726,"西大街128号院
",6361.0625
2486,510100I0000004836,新桂东社区,6365.183
3600,510100I0000007800,西大街24号院,6366.75
6614,510100I0000056709,金都二区,6370.0356
2785,510100I0000005451,政府中路排洪河桥,6370.3335
15341,510100I0000081618,老西街63号院,6370.564
3654,510100I0000007876,大南街67号院,6371.664
6048,510100I0000055583,书南巷53号院,6372.7515
2521,510100I0000004901,北新路340号院,6376.454
2797,510100I0000005471,红阳路71号院,6378.0835
6463,510100I0000056327,土地街146号院,6379.975
2410,510100I0000004717,外南街453号,6379.9995
6354,510100I0000056151,包家巷7号院,6382.002
3197,510100I0000006669,锦绣水岸,6389.998
8931,510100I0000064261,棠湖公寓,6390.327
3571,510100I0000007740,温江区粮食局家属院,6390.6387
3002,510100I0000006114,三家巷9号院,6392.101
2762,510100I0000005407,教育街129号院,6393.071
2934,510100I0000005806,玉带街12号院,6395.0825
2842,510100I0000005550,凤祥兴居,6400.1836
2739,510100I0000005365,/,6402.1797
2947,510100I0000005869,国龙花园,6406.247
3679,510100I0000007905,柳城大道东段58号院,6406.987
3109,510100I0000006406,福缘小区,6407.2495
3484,510100I0000007602,鑫华苑,6408.2456
3500,510100I0000007626,迎凤苑,6416.7153
3108,510100I0000006405,新都街道医学院小区,6420.345
3678,510100I0000007904,柳城大道东段56号院,6420.48
8082,510100I0000061602,御景天街,6421.2085
15423,510100I0000081801,文化路90号院,6425
2617,510100I0000005033,宝光大道中段44号院,6428.647
6062,510100I0000055601,南大街347号院,6429.2603
15332,510100I0000081602,静安社区红星小区,6429.8853
2871,510100I0000005601,新河四队,6435.5234
6109,510100I0000055677,中全公司宿舍,6440.724
3562,510100I0000007723,庆丰苑小区,6442.0137
7878,510100I0000059532,郫县物资局宿舍,6442.2163
3478,510100I0000007595,中国工商银行四川分行营业部干部学校教工宿舍,6442.831
3022,510100I0000006161,/,6442.9966
2451,510100I0000004798,东城家园,6444.798
2981,510100I0000006012,蜀青名苑,6445.732
2496,510100I0000004852,桂湖东路一巷8号院,6448.0005
2988,510100I0000006076,怡湖西路271号1号院,6451.6357
2754,510100I0000005392,/,6455.5376
8155,510100I0000062028,成都市郫都区地第二中学教师楼宿舍区,6457.188
3570,510100I0000007739,行署路16号院,6457.5264
2584,510100I0000004992,文家二巷9号院,6458.0566
6133,510100I0000055707,真武巷47号院,6458.4194
3674,510100I0000007899,团结路9号院,6459.7314
3327,510100I0000007039,静水苑,6459.7935
6155,510100I0000055735,新南街38号院,6464.002
7719,510100I0000059160,南丰花园,6465.5747
6342,510100I0000056136,老西街145号院,6465.8335
6050,510100I0000055585,书院小区,6466.999
3620,510100I0000007826,东大街61号院,6467.0176
2761,510100I0000005406,教育街131号院,6469.584
6299,510100I0000056087,文庙巷8号院,6470.3794
2784,510100I0000005449,院华金大道二段418号,6471.8174
6052,510100I0000055588,欣苑小区,6472.367
16060,510100I0000083537,/,6472.651
2640,510100I0000005068,桂湖河畔,6473.7124
2559,510100I0000004960,紫瑞街108号院,6474.003
3282,510100I0000006959,毗河雅苑,6484.847
6157,510100I0000055737,新南街125号院,6486.301
6073,510100I0000055613,南大街327号附1号院,6487
18606,510100I0000089539,教育局小区,6487.2046
6314,510100I0000056103,西大街309号院,6488.782
9078,510100I0000064521,百合园,6491.2827
6033,510100I0000055564,郫都区物业公司企业局家属院书院街片区,6492.9976
6603,510100I0000056689,原野庄园,6495.7046
4420,510100I0000049069,怡康小院,6496.8193
3627,510100I0000007837,和谐小区,6503.644
6108,510100I0000055676,经管站小区,6504.7734
2856,510100I0000005582,/,6511.7437
3735,510100I0000008043,上升街55号院,6516.9873
6101,510100I0000055650,兴光西苑小区,6517.559
2587,510100I0000004996,状元街二巷49号院,6521.202
2589,510100I0000004998,状元街二巷19号院,6521.4756
3538,510100I0000007689,中医院宿舍,6521.998
8755,510100I0000063938,双流区建设银行家属院,6521.998
14552,510100I0000074751,西鑫苑,6523.79
3274,510100I0000006866,香江紫钻,6524.3315
2773,510100I0000005430,政府中路201号院,6524.63
2867,510100I0000005597,香林名宅别墅,6526.353
2591,510100I0000005002,圣谕亭巷201号院,6526.715
6345,510100I0000056139,宝生街9号院,6530.737
6341,510100I0000056135,老西街35号院,6532.3745
2815,510100I0000005491,/,6535.0044
2937,510100I0000005817,川化五村1区,6535.341
2873,510100I0000005603,新河四队,6536.544
2055,510100I0000004146,唐公馆,6542.5435
3448,510100I0000007549,安居苑,6543.08
2870,510100I0000005600,新河四队,6549.2666
3938,510100I0000036401,/,6549.8604
2579,510100I0000004986,黄金楼院,6549.8975
6349,510100I0000056143,西大街183号院,6550.9165
3504,510100I0000007632,柳城苑,6551.4473
2816,510100I0000005494,/,6551.9785
2610,510100I0000005026,东环路74号院,6552.372
9112,510100I0000064575,东泰路118号院,6554.7593
6326,510100I0000056117,新南街289号院-311号院,6555.841
3592,510100I0000007783,永康路75号院,6557.3857
7784,510100I0000059251,长安路20号院,6558.9746
6143,510100I0000055722,荆湘路50号院,6563.811
2772,510100I0000005429,华金大道二段410号院,6564.2744
2552,510100I0000004951,桂湖东路199号院,6566.6597
2850,510100I0000005571,怡景阳光,6569.497
15398,510100I0000081704,"蜀苑
",6570.2993
2758,510100I0000005400,华金大道二段560号院,6570.349
2463,510100I0000004810,农资公司家属院,6571.133
7838,510100I0000059346,芙蓉胜地,6571.9976
3006,510100I0000006123,华金大道二段558号院,6575.1953
3669,510100I0000007894,文庙街17号院,6576.3174
6350,510100I0000056144,西大街235号院,6576.9385
5019,510100I0000052009,中国银行宿舍,6580.9976
2440,510100I0000004780,民生巷46号院,6581.895
3373,510100I0000007455,天府雅居,6582.0015
8960,510100I0000064306,物价局宿舍,6582.322
2608,510100I0000005024,东街38号院,6582.963
2976,510100I0000005993,成桥小区,6583.9985
6162,510100I0000055746,宝生街1号院,6584.922
2510,510100I0000004881,东街三巷16号院,6587.0444
3029,510100I0000006179,长宁小区,6588.018
2487,510100I0000004837,桂湖东路二巷2号院,6588.15
2632,510100I0000005058,状元街四巷15号院,6592.5996
4276,510100I0000037300,/,6592.789
2446,510100I0000004789,/,6593.09
2950,510100I0000005880,芳邻路19号院,6593.782
2586,510100I0000004995,状元街二巷28号,6596.5996
4258,510100I0000037272,德通桥南路1号(1号-113号)院,6597.4937
3673,510100I0000007898,团结巷5号院,6597.5625
2282,510100I0000004496,柏林阳光华庭,6599.2114
3670,510100I0000007895,文武路40号院,6604.229
3479,510100I0000007596,中国工商银行四川分行营业部干部学校教工宿舍,6604.802
2974,510100I0000005991,工商所宿舍,6613.784
3651,510100I0000007872,西大街31号院,6616.0557
3569,510100I0000007738,"金强商务公寓
",6617.9985
8792,510100I0000064010,城北下街63号院,6620.997
6294,510100I0000056077,建行家属院,6621.9575
8800,510100I0000064025,顺泰公寓,6623.195
3446,510100I0000007546,长征大院,6630.28
7762,510100I0000059220,太极花园,6632.398
2961,510100I0000005904,润嘉置业有限公司,6633.619
2776,510100I0000005433,/,6633.904
2470,510100I0000004817,金南小区,6635.334
2676,510100I0000005118,桂湖东路196号院,6635.998
4006,510100I0000036757,新民社区9组,6636.6816
7779,510100I0000059245,太平街41号院,6637.0615
