id,log_price,price,lon,lat
2358,8.704904,6032.4204,104.1550801,30.83900469
2359,8.670343,5827.4995,104.1566179,30.83324163
2360,8.896316,7305.009,104.1581272,30.82400246
2361,8.484257,4838.0005,104.1574901,30.82777957
2362,8.601114,5437.7153,104.1567733,30.82749581
2363,8.602405,5444.736,104.156504,30.82811815
2364,8.696209,5980.198,104.1572316,30.82843179
2365,8.597366,5417.373,104.1568508,30.8283317
2366,8.738745,6240.0576,104.1575906,30.82813709
2367,8.4671955,4756.158,104.15596,30.82712911
2368,8.559951,5218.4243,104.156305,30.82660245
2369,8.613283,5504.2905,104.155652,30.82598915
2370,8.713897,6086.9155,104.15561,30.82678673
2371,8.599716,5430.118,104.1556105,30.82641328
2372,8.59443,5401.4893,104.157511,30.82721371
2373,8.7058735,6038.274,104.157607,30.8262113
2374,8.53901,5110.283,104.1593429,30.82665711
2375,8.853951,7002.0024,104.1560643,30.83651701
2376,8.112954,3337.4229,104.1423533,30.83483952
2377,8.608372,5477.323,104.1549415,30.83411713
2378,8.704666,6030.9883,104.1509562,30.83678829
2379,8.62511,5569.7734,104.1544326,30.83127678
2380,8.592253,5389.7417,104.1544555,30.83177694
2381,8.679914,5883.5435,104.1583499,30.82027146
2382,8.616886,5524.1577,104.1587212,30.82108284
2383,8.724353,6150.8945,104.1570813,30.82176144
2384,8.6353855,5627.3027,104.1584086,30.8219254
2385,8.6574745,5752.9873,104.1575305,30.82094792
2386,8.638775,5646.408,104.1584364,30.82074242
2387,8.602764,5446.6943,104.1567114,30.82719903
2388,8.677892,5871.6543,104.1560803,30.82686916
2389,8.48694,4851.0015,104.1568578,30.82699205
2390,8.556354,5199.6865,104.1568651,30.82663743
2391,8.498176,4905.811,104.1569304,30.82623451
2392,8.561647,5227.2856,104.1569748,30.82593553
2393,8.735077,6217.212,104.1397447,30.82058382
2394,9.193697,9834.943,104.1420932,30.81944434
2395,8.928392,7543.129,104.1454827,30.81875931
2396,8.737774,6234.003,104.1471798,30.81720085
2397,9.351927,11521.001,104.1485266,30.81826815
2398,8.751106,6317.673,104.1480291,30.81697666
